Time: 0 | a: 0100101000101101 | b: 1011001111010100 | result: 11101001111011011110010001000100 | result (hex): e9ede444
Time: 490 | a: 0010110100110101 | b: 1001011111111001 | result: 11101101101000010011101110001101 | result (hex): eda13b8d
Time: 500 | a: 0111100111111011 | b: 0001011011100110 | result: 00001010111010010010100110000010 | result (hex): ae92982
Time: 510 | a: 0010100001010001 | b: 1000000001101010 | result: 11101011111010000011000110001010 | result (hex): ebe8318a
Time: 520 | a: 0000100011111010 | b: 1110001101001111 | result: 11111110111111100111001100100110 | result (hex): fefe7326
Time: 530 | a: 0110011001001111 | b: 1010000000001100 | result: 11011001101001110010101110110100 | result (hex): d9a72bb4
Time: 540 | a: 1101111100110100 | b: 0111011100101000 | result: 11110000101111000000110000100000 | result (hex): f0bc0c20
Time: 550 | a: 0001100000010011 | b: 1111001101110001 | result: 11111110110100011010100101100011 | result (hex): fed1a963
Time: 560 | a: 1000111000100011 | b: 0011111010100011 | result: 11100100001000111111101001001001 | result (hex): e423fa49
Time: 570 | a: 1011010111000010 | b: 1100001010110110 | result: 00010001110001100011101111101100 | result (hex): 11c63bec
Time: 580 | a: 0101100010011100 | b: 0100011110101100 | result: 00011000110011101100110011010000 | result (hex): 18ceccd0
Time: 590 | a: 1011111000110101 | b: 1000100100011111 | result: 00011110100011010110010101101011 | result (hex): 1e8d656b
Time: 600 | a: 0111000100001010 | b: 1111011100010011 | result: 11111100000011110000100110111110 | result (hex): fc0f09be
Time: 610 | a: 0001111100011011 | b: 1100111101010101 | result: 11111010000101100010100011110111 | result (hex): fa1628f7
Time: 620 | a: 1010110111110000 | b: 1001110101010101 | result: 00011111101000001111000010110000 | result (hex): 1fa0f0b0
Time: 630 | a: 1101001111010110 | b: 1000101110001010 | result: 00010100000101110110001101011100 | result (hex): 1417635c
Time: 640 | a: 1110001010100100 | b: 1000000100001100 | result: 00001110100011110100001110110000 | result (hex): e8f43b0
Time: 650 | a: 1010001110000011 | b: 1101110010100000 | result: 00001100110001111100010111100000 | result (hex): cc7c5e0
Time: 660 | a: 0001011111110010 | b: 0100101111010100 | result: 00000111000101111011101001101000 | result (hex): 717ba68
Time: 670 | a: 1101110100001010 | b: 1010000011101100 | result: 00001100111111000000010100111000 | result (hex): cfc0538
Time: 680 | a: 1010111100100011 | b: 1100001101011010 | result: 00010011001010000011101101001110 | result (hex): 13283b4e
Time: 690 | a: 1100000011111000 | b: 0000111001011000 | result: 11111100011101111110010101000000 | result (hex): fc77e540
Time: 700 | a: 1011101010000010 | b: 0101100100001011 | result: 11100111110101000011010110010110 | result (hex): e7d43596
Time: 710 | a: 1000000111001001 | b: 1100100010100110 | result: 00011011010010100011000001010110 | result (hex): 1b4a3056
Time: 720 | a: 0001011110101110 | b: 1011011110001100 | result: 11111001010011000101010100101000 | result (hex): f94c5528
Time: 730 | a: 0000101101011100 | b: 1111000001001011 | result: 11111111010011011001001111110100 | result (hex): ff4d93f4
Time: 740 | a: 0111111100111000 | b: 0100100110010001 | result: 00100100100011110000011010111000 | result (hex): 248f06b8
Time: 750 | a: 1111100101101010 | b: 0111000001000010 | result: 11111101000111001010110101010100 | result (hex): fd1cad54
Time: 760 | a: 1100000010100100 | b: 1001100010000101 | result: 00011001100111000111010100110100 | result (hex): 199c7534
Time: 770 | a: 1011111110010111 | b: 1110111010010100 | result: 00000100011000100010010101001100 | result (hex): 462254c
Time: 780 | a: 1011010111011010 | b: 0001001101101110 | result: 11111010010111110101000110101100 | result (hex): fa5f51ac
Time: 790 | a: 1111101000011110 | b: 0001100001111111 | result: 11111111011011111110010011100010 | result (hex): ff6fe4e2
Time: 800 | a: 0001010001111010 | b: 0001110110100001 | result: 00000010010111101011001010111010 | result (hex): 25eb2ba
Time: 810 | a: 0111010100011111 | b: 1010110001101100 | result: 11011001110000110011110100010100 | result (hex): d9c33d14
Time: 820 | a: 1110100101110110 | b: 1101001000101001 | result: 00000100000010010010111111100110 | result (hex): 4092fe6
Time: 830 | a: 1100110101011001 | b: 0001100010011001 | result: 11111011001000100001001000110001 | result (hex): fb221231
Time: 840 | a: 0001010110000011 | b: 0000111001010001 | result: 00000001001100111111100001110011 | result (hex): 133f873
Time: 850 | a: 1010011011110001 | b: 0101000000000110 | result: 11100100001010010011100110100110 | result (hex): e42939a6
Time: 860 | a: 1110011101011101 | b: 1010100010111011 | result: 00001000011001100000100011101111 | result (hex): 86608ef
Time: 870 | a: 1001100010101100 | b: 0111111100001011 | result: 11001100101110001110001101100100 | result (hex): ccb8e364
Time: 880 | a: 1110000001000111 | b: 0010010000001000 | result: 11111011100010001111111000111000 | result (hex): fb88fe38
Time: 890 | a: 1110111101010110 | b: 1101111101111111 | result: 00000010000111011010010110101010 | result (hex): 21da5aa
Time: 900 | a: 1110110110011001 | b: 0110100011000000 | result: 11111000011110000101101011000000 | result (hex): f8785ac0
Time: 910 | a: 1100111111000010 | b: 0010111000111101 | result: 11110111010010010101110100111010 | result (hex): f7495d3a
Time: 920 | a: 1000000101000101 | b: 0000111101011001 | result: 11111000011001101111101111111101 | result (hex): f866fbfd
Time: 930 | a: 1001110011010001 | b: 1011011100100000 | result: 00011100001111000000000100100000 | result (hex): 1c3c0120
Time: 940 | a: 1010001011000111 | b: 0001011011101111 | result: 11110111101001100001000111001001 | result (hex): f7a611c9
Time: 950 | a: 0100111110011111 | b: 0011011101000001 | result: 00010001001011110110000001011111 | result (hex): 112f605f
Time: 960 | a: 1011010010010000 | b: 0100010010111110 | result: 11101011101111100100001011100000 | result (hex): ebbe42e0
Time: 970 | a: 0110001110101110 | b: 0001111000000110 | result: 00001011101100001011101000010100 | result (hex): bb0ba14
Time: 980 | a: 1001011011100111 | b: 1011000100000111 | result: 00100000011010111101011101010001 | result (hex): 206bd751
Time: 990 | a: 1011011010100000 | b: 0010110001101011 | result: 11110011010001001101010011100000 | result (hex): f344d4e0
Time: 1000 | a: 0011111101011000 | b: 1101110110010001 | result: 11110111011110101101100011011000 | result (hex): f77ad8d8
Time: 1010 | a: 1111110001110001 | b: 1010011010110101 | result: 00000001001111011100000111100101 | result (hex): 13dc1e5
Time: 1020 | a: 0000011001001100 | b: 0001010100011101 | result: 00000000100001001111001010011100 | result (hex): 84f29c
Time: 1030 | a: 1010010111000001 | b: 0110011010010011 | result: 11011011110101110001001111010011 | result (hex): dbd713d3
Time: 1040 | a: 1011100100100101 | b: 0001010100010111 | result: 11111010001010011010101101010011 | result (hex): fa29ab53
Time: 1050 | a: 1100011000010011 | b: 0010011010111110 | result: 11110111001110111101010000011010 | result (hex): f73bd41a
Time: 1060 | a: 1111110111011000 | b: 0001010111010101 | result: 11111111110100001110110010111000 | result (hex): ffd0ecb8
Time: 1070 | a: 1101010011111011 | b: 1111111100011101 | result: 00000000001001100010010101101111 | result (hex): 26256f
Time: 1080 | a: 1010010100101110 | b: 1111000111001100 | result: 00000101000010011110111010101000 | result (hex): 509eea8
Time: 1090 | a: 0011011000111101 | b: 1100011111110110 | result: 11110100001000001000100110011110 | result (hex): f420899e
Time: 1100 | a: 1000100010111011 | b: 0000010111011100 | result: 11111101010001010010011110110100 | result (hex): fd4527b4
Time: 1110 | a: 0111111100110111 | b: 1011110101001011 | result: 11011110110110011110000000011101 | result (hex): ded9e01d
Time: 1120 | a: 1100101010011010 | b: 0110001011100101 | result: 11101011010111110010111111000010 | result (hex): eb5f2fc2
Time: 1130 | a: 0101101101010010 | b: 1110000110000010 | result: 11110101000111110111000110100100 | result (hex): f51f71a4
Time: 1140 | a: 1001001111101100 | b: 1001000111110010 | result: 00101110011101101000000100011000 | result (hex): 2e768118
Time: 1150 | a: 1000110111101101 | b: 0101001101000101 | result: 11011010111001010001011111100001 | result (hex): dae517e1
Time: 1160 | a: 1110111110000011 | b: 0000101001011110 | result: 11111111010101010001000000011010 | result (hex): ff55101a
Time: 1170 | a: 0111100111111010 | b: 0111010111010000 | result: 00111000001000100101110100100000 | result (hex): 38225d20
Time: 1180 | a: 1001111101111011 | b: 1001111110111011 | result: 00100100010010111110001111011001 | result (hex): 244be3d9
Time: 1190 | a: 0101110001100011 | b: 1101100010100000 | result: 11110001110010100100010111100000 | result (hex): f1ca45e0
Time: 1200 | a: 0011010011010011 | b: 1010001001110110 | result: 11101100101100101101111101000010 | result (hex): ecb2df42
Time: 1210 | a: 0111111101011110 | b: 1011001010101011 | result: 11011001100001100110111111001010 | result (hex): d9866fca
Time: 1220 | a: 0011100001001011 | b: 1101010001011001 | result: 11110110011001101010111000010011 | result (hex): f666ae13
Time: 1230 | a: 0011000111001000 | b: 0101110101111010 | result: 00010010001011010110000101010000 | result (hex): 122d6150
Time: 1240 | a: 0100011000100101 | b: 1110100000000110 | result: 11111001011011100010110011011110 | result (hex): f96e2cde
Time: 1250 | a: 1010010101110000 | b: 0100111011100000 | result: 11100100000110001110001000000000 | result (hex): e418e200
Time: 1260 | a: 0110110111100010 | b: 1010010010100111 | result: 11011000110010100111011001101110 | result (hex): d8ca766e
Time: 1270 | a: 1000110000101011 | b: 1011100001111101 | result: 00100000010110110101100011111111 | result (hex): 205b58ff
Time: 1280 | a: 1000011110001101 | b: 0110011101111101 | result: 11001111010011101110101011011001 | result (hex): cf4eead9
Time: 1290 | a: 0001100111111111 | b: 1001101101111001 | result: 11110101110010101010111010000111 | result (hex): f5caae87
Time: 1300 | a: 0111100101101111 | b: 0010011111101100 | result: 00010010111011111101101101010100 | result (hex): 12efdb54
Time: 1310 | a: 0110111010111110 | b: 1110100011110011 | result: 11110110000001110100111001011010 | result (hex): f6074e5a
Time: 1320 | a: 1011001001001010 | b: 0110100010111001 | result: 11100000001101011110011101111010 | result (hex): e035e77a
Time: 1330 | a: 1101111011000011 | b: 1101000111000101 | result: 00000110000000001001111100001111 | result (hex): 6009f0f
Time: 1340 | a: 1000100001110100 | b: 1011101100100110 | result: 00100000001001101111110100111000 | result (hex): 2026fd38
Time: 1350 | a: 0010101001100101 | b: 0011110101000111 | result: 00001010001001011101001100000011 | result (hex): a25d303
Time: 1360 | a: 1101110110011101 | b: 0010100111000011 | result: 11111010011000111111001110010111 | result (hex): fa63f397
Time: 1370 | a: 0110111111110010 | b: 1001010111101000 | result: 11010001100110110100110101010000 | result (hex): d19b4d50
Time: 1380 | a: 0111111000011100 | b: 0010000110111011 | result: 00010000100111011011101001110100 | result (hex): 109dba74
Time: 1390 | a: 0111001101100010 | b: 0100010001000001 | result: 00011110110000110101001111100010 | result (hex): 1ec353e2
Time: 1400 | a: 1000100111000001 | b: 1001100011010010 | result: 00101111101010001001100001010010 | result (hex): 2fa89852
Time: 1410 | a: 0001001100100001 | b: 0111011110100011 | result: 00001000111100001000010100000011 | result (hex): 8f08503
Time: 1420 | a: 1011110101111010 | b: 0001111101001100 | result: 11110111110111100000011000111000 | result (hex): f7de0638
Time: 1430 | a: 1011000000100000 | b: 1100010100000111 | result: 00010010011001100111000011100000 | result (hex): 126670e0
Time: 1440 | a: 0000011011001010 | b: 0100101000011111 | result: 00000001111101110011011001110110 | result (hex): 1f73676
Time: 1450 | a: 1110000010000000 | b: 0000000000111001 | result: 11111111111110001111110010000000 | result (hex): fff8fc80
Time: 1460 | a: 1111001000001011 | b: 1100111100111111 | result: 00000010101010000111010110110101 | result (hex): 2a875b5
Time: 1470 | a: 0110100100101100 | b: 0010010001010101 | result: 00001110111011010001101110011100 | result (hex): eed1b9c
Time: 1480 | a: 1011011111111000 | b: 1100011111101111 | result: 00001111110001101000100010001000 | result (hex): fc68888
Time: 1490 | a: 0111011000011010 | b: 1100000001101100 | result: 11100010101010110101001011111000 | result (hex): e2ab52f8
Time: 1500 | a: 0000001100010110 | b: 0010000001111111 | result: 00000000011001000100011111101010 | result (hex): 6447ea
Time: 1510 | a: 0111110110110100 | b: 0110000010110011 | result: 00101111011110110110010011011100 | result (hex): 2f7b64dc
Time: 1520 | a: 1100101001000010 | b: 0110110110100110 | result: 11101000111110110100000011001100 | result (hex): e8fb40cc
Time: 1530 | a: 0111011010011011 | b: 1100100001011110 | result: 11100110001110011010010011101010 | result (hex): e639a4ea
Time: 1540 | a: 0000111101100001 | b: 0110100111111110 | result: 00000110010111100000101100111110 | result (hex): 65e0b3e
Time: 1550 | a: 1000110010011111 | b: 0001100100100010 | result: 11110100101011000011010000011110 | result (hex): f4ac341e
Time: 1560 | a: 1000001011010000 | b: 0001111111000000 | result: 11110000011110010100110000000000 | result (hex): f0794c00
Time: 1570 | a: 0001000011000110 | b: 1100000001001010 | result: 11111011110100110101100100111100 | result (hex): fbd3593c
Time: 1580 | a: 1011111100001101 | b: 0100000011100110 | result: 11101111100010001110010110101110 | result (hex): ef88e5ae
Time: 1590 | a: 0000010101010001 | b: 0100010111010111 | result: 00000001011100110100110000000111 | result (hex): 1734c07
Time: 1600 | a: 0000101100000110 | b: 0110010111010010 | result: 00000100011000100110100011101100 | result (hex): 46268ec
Time: 1610 | a: 1100011000010000 | b: 0111110100010001 | result: 11100011101100011111011100010000 | result (hex): e3b1f710
Time: 1620 | a: 1011010100010001 | b: 1010111100111101 | result: 00010111101000111100010000001101 | result (hex): 17a3c40d
Time: 1630 | a: 0010000101100111 | b: 1110110100001001 | result: 11111101100001101000011110011111 | result (hex): fd86879f
Time: 1640 | a: 1111011100101100 | b: 0001011110000001 | result: 11111111001100001000000100101100 | result (hex): ff30812c
Time: 1650 | a: 0010110101110101 | b: 0111101001000010 | result: 00010101101101010111101000101010 | result (hex): 15b57a2a
Time: 1660 | a: 1011100000000001 | b: 0010101100101001 | result: 11110011110111001010001100101001 | result (hex): f3dca329
Time: 1670 | a: 0101101011110101 | b: 0000001001000011 | result: 00000000110011011011100000011111 | result (hex): cdb81f
Time: 1680 | a: 0001100011010000 | b: 0101000110010001 | result: 00000111111001111101110111010000 | result (hex): 7e7ddd0
Time: 1690 | a: 0100101010100010 | b: 1010100000110001 | result: 11100110011001101001100100000010 | result (hex): e6669902
Time: 1700 | a: 0011101110001111 | b: 0101011101000001 | result: 00010100010011001011100001001111 | result (hex): 144cb84f
Time: 1710 | a: 0100000101010100 | b: 0011111001011111 | result: 00001111111010101001011000101100 | result (hex): fea962c
Time: 1720 | a: 1111011100000010 | b: 1101001000011010 | result: 00000001100111001011101000110100 | result (hex): 19cba34
Time: 1730 | a: 0111111010101010 | b: 0011011000001111 | result: 00011010101111110100011111110110 | result (hex): 1abf47f6
Time: 1740 | a: 1001001100000000 | b: 0000001111111011 | result: 11111110010011100010000100000000 | result (hex): fe4e2100
Time: 1750 | a: 1111101111100110 | b: 0001111000000110 | result: 11111111100001001101101101100100 | result (hex): ff84db64
Time: 1760 | a: 1110100111001101 | b: 0100000111110110 | result: 11111010010001111011011111111110 | result (hex): fa47b7fe
Time: 1770 | a: 0001101100011000 | b: 0001111011011110 | result: 00000011010001000100111011010000 | result (hex): 3444ed0
Time: 1780 | a: 0111000100110011 | b: 1011110001111111 | result: 11100010001001101001110001001101 | result (hex): e2269c4d
Time: 1790 | a: 1000101111100111 | b: 1110100001100000 | result: 00001010101101101100111010100000 | result (hex): ab6cea0
Time: 1800 | a: 0101010000000000 | b: 0011100101011101 | result: 00010010110100101000010000000000 | result (hex): 12d28400
Time: 1810 | a: 1110001010100010 | b: 1000110000000001 | result: 00001101010011100111101010100010 | result (hex): d4e7aa2
Time: 1820 | a: 1110010010000110 | b: 1011110110011000 | result: 00000111001000001001110110010000 | result (hex): 7209d90
Time: 1830 | a: 0000111001000101 | b: 0111110101010110 | result: 00000110111111000111110000101110 | result (hex): 6fc7c2e
Time: 1840 | a: 1000111100101001 | b: 1101100011100111 | result: 00010001001110111100010111111111 | result (hex): 113bc5ff
Time: 1850 | a: 1010010110001000 | b: 0100101010111000 | result: 11100101100110000100100111000000 | result (hex): e59849c0
Time: 1860 | a: 1011000000101000 | b: 0110011011011100 | result: 11011111111010110101001001100000 | result (hex): dfeb5260
Time: 1870 | a: 0000100100010111 | b: 0010011100101010 | result: 00000001011000111111111011000110 | result (hex): 163fec6
Time: 1880 | a: 1011100011110110 | b: 0000011111000001 | result: 11111101110110010010101101110110 | result (hex): fdd92b76
Time: 1890 | a: 1101110100111001 | b: 1100101111110110 | result: 00000111000100011100011111000110 | result (hex): 711c7c6
Time: 1900 | a: 1000101110111101 | b: 0101100100011111 | result: 11010111100001101010000011100011 | result (hex): d786a0e3
Time: 1910 | a: 0110100111111101 | b: 1111010110001010 | result: 11111011101010110100001101100010 | result (hex): fbab4362
Time: 1920 | a: 0001101100010110 | b: 0000010100010101 | result: 00000000100010011010011011001110 | result (hex): 89a6ce
Time: 1930 | a: 1001010001101001 | b: 0000110001001001 | result: 11111010110101100011110111110001 | result (hex): fad63df1
Time: 1940 | a: 0100000110010100 | b: 1010000001010000 | result: 11100111011111001111111001000000 | result (hex): e77cfe40
Time: 1950 | a: 0111010010101001 | b: 0001010110010100 | result: 00001001110101010100111010110100 | result (hex): 9d54eb4
Time: 1960 | a: 0101100110101101 | b: 1101011101001100 | result: 11110001101111011110101001011100 | result (hex): f1bdea5c
Time: 1970 | a: 0010000110010110 | b: 1011111000110100 | result: 11110111010111100010011001111000 | result (hex): f75e2678
Time: 1980 | a: 0001010011100100 | b: 1010111111011011 | result: 11111001011101011011101100001100 | result (hex): f975bb0c
Time: 1990 | a: 1011101110001010 | b: 0010010000001101 | result: 11110110010110111110111000000010 | result (hex): f65bee02
Time: 2000 | a: 0000100011000010 | b: 1110000100010010 | result: 11111110111100010001111110100100 | result (hex): fef11fa4
Time: 2010 | a: 1110111011000101 | b: 0011100011101010 | result: 11111100001010110101100000010010 | result (hex): fc2b5812
Time: 2020 | a: 1100011111101110 | b: 0111011111011100 | result: 11100101101111110111001010001000 | result (hex): e5bf7288
Time: 2030 | a: 1110000000010101 | b: 0000000011100100 | result: 11111111111000111001001010110100 | result (hex): ffe392b4
Time: 2040 | a: 1111111110011110 | b: 0011110101001110 | result: 11111111111010001000100000100100 | result (hex): ffe88824
Time: 2050 | a: 0100110011011011 | b: 0000101101011011 | result: 00000011011010001011101011011001 | result (hex): 368bad9
Time: 2060 | a: 0001011001101110 | b: 0011011011011000 | result: 00000100110011100010000011010000 | result (hex): 4ce20d0
Time: 2070 | a: 1000000011100101 | b: 1011000110000100 | result: 00100110111101111100101100010100 | result (hex): 26f7cb14
Time: 2080 | a: 1011101111101101 | b: 1001010101001110 | result: 00011100010111110011001100110110 | result (hex): 1c5f3336
Time: 2090 | a: 0011110111001101 | b: 0111110110000001 | result: 00011110010011000011110101001101 | result (hex): 1e4c3d4d
Time: 2100 | a: 1011010110011111 | b: 0011001001110111 | result: 11110001010101100111101011101001 | result (hex): f1567ae9
Time: 2110 | a: 0001001100010101 | b: 1000111101001100 | result: 11110111100110010110010100111100 | result (hex): f799653c
Time: 2120 | a: 1000100111000011 | b: 1011010010101011 | result: 00100010110010110010000101000001 | result (hex): 22cb2141
Time: 2130 | a: 1100110110000000 | b: 0001111010100111 | result: 11111001111101000000111010000000 | result (hex): f9f40e80
Time: 2140 | a: 1110010010000110 | b: 0000100100001011 | result: 11111111000001111000011111000010 | result (hex): ff0787c2
Time: 2150 | a: 1100001010110100 | b: 0110110101001000 | result: 11100101110101010110011010100000 | result (hex): e5d566a0
Time: 2160 | a: 0110101000011101 | b: 0011000101111001 | result: 00010100100000011011010010110101 | result (hex): 1481b4b5
Time: 2170 | a: 0010011000110011 | b: 1011001000001100 | result: 11110100010111100100000001100100 | result (hex): f45e4064
Time: 2180 | a: 0010100101010101 | b: 1000011001001000 | result: 11101100010110010001110111101000 | result (hex): ec591de8
Time: 2190 | a: 0011001011110000 | b: 1010100011110011 | result: 11101110101011011101100111010000 | result (hex): eeadd9d0
Time: 2200 | a: 0100001110010110 | b: 1111111111001011 | result: 11111111111100100000000111110010 | result (hex): fff201f2
Time: 2210 | a: 0011010001001110 | b: 1101101000000100 | result: 11111000001111010011110100111000 | result (hex): f83d3d38
Time: 2220 | a: 1011011010100011 | b: 0011010100110100 | result: 11110000110000001101100000011100 | result (hex): f0c0d81c
Time: 2230 | a: 0000101110001000 | b: 1111001010010000 | result: 11111111011001010000110010000000 | result (hex): ff650c80
Time: 2240 | a: 0100101010000010 | b: 1100100101010110 | result: 11110000000101110001100110101100 | result (hex): f01719ac
Time: 2250 | a: 1111000000010001 | b: 1000000000100001 | result: 00000111111101010111001000110001 | result (hex): 7f57231
Time: 2260 | a: 0111101111001101 | b: 1000001100100111 | result: 11000011100111111100001100111011 | result (hex): c39fc33b
Time: 2270 | a: 1000111101101110 | b: 1000010110010000 | result: 00110101110101101101001111100000 | result (hex): 35d6d3e0
Time: 2280 | a: 1011011111010010 | b: 1101110011101110 | result: 00001001111000110101110100111100 | result (hex): 9e35d3c
Time: 2290 | a: 0010010000110111 | b: 0001110001011001 | result: 00000100000000101001101100011111 | result (hex): 4029b1f
Time: 2300 | a: 0110010111111001 | b: 0110011011101011 | result: 00101000111111101101000110010011 | result (hex): 28fed193
Time: 2310 | a: 0000100110100001 | b: 0101000000010111 | result: 00000011000000110010110101110111 | result (hex): 3032d77
Time: 2320 | a: 0001100001100100 | b: 1010111111010100 | result: 11111000010111001000111011010000 | result (hex): f85c8ed0
Time: 2330 | a: 1000001000100011 | b: 1100000110111001 | result: 00011110100111100110111001001011 | result (hex): 1e9e6e4b
Time: 2340 | a: 1011011000011100 | b: 0011010100010011 | result: 11110000101011100101000000010100 | result (hex): f0ae5014
Time: 2350 | a: 1110101010101101 | b: 0111100110110011 | result: 11110101110111001101101111110111 | result (hex): f5dcdbf7
Time: 2360 | a: 1011010011011111 | b: 1001111011111011 | result: 00011100011110001111100010100101 | result (hex): 1c78f8a5
Time: 2370 | a: 1101001110110111 | b: 1110101110000010 | result: 00000011100010110111111111101110 | result (hex): 38b7fee
Time: 2380 | a: 0101010000101111 | b: 0101111101000000 | result: 00011111010100100111110011000000 | result (hex): 1f527cc0
Time: 2390 | a: 0101111000010011 | b: 0001111010110010 | result: 00001011010001111010001100110110 | result (hex): b47a336
Time: 2400 | a: 1010100010010110 | b: 1100111000100100 | result: 00010001000001100110100100011000 | result (hex): 11066918
Time: 2410 | a: 0001111011010011 | b: 1010010001100011 | result: 11110100111110000001011110011001 | result (hex): f4f81799
